,Unnamed: 0,verified,month_fly,month_fly_num,year_fly,month_year_fly,country,type,route,ground_service,money_value,recommended,review,origin,destination,transit
2369,2369,False,April,4.0,2016.0,2016-04-01,United Kingdom,Business,LHR to NBO,2.0,2,no,"London Heathrow - Nairobi Kenya. Boeing 777 not new but clean. Departed on time. Food was very average and was served at 11.30 am as a ""lunch"" - bland and uninteresting. Cabin crew very quick and efficient but then ran away for most of the flight so that they could get the service over as quickly as possible. An hour before landing they reappeared again with cardboard boxes with a chicken sandwich, a drink and that was it. You sometimes wonder whether British Airways check the quality of the offers made by other airlines or whether it is just customer loyalty that keeps them flying. Nairobi arrival was a nightmare as my electronic visa had a page not dowloaded and this resulted in an extra hour and a half with immigration before it was sorted out.",London Heathrow,NBO,
2374,2374,False,April,4.0,2016.0,2016-04-01,United Kingdom,Solo Leisure,LHR to CPT via JNB,1.0,2,no,"I am writing to complain about my deeply distressing British Airways flight from London Heathrow - Cape town with a change at Johannesburg. The flight was badly managed throughout. when I arrived at Heathrow, I was told by a member of staff that my name was not on the system. She eventually found it, She then said 'oh Im sorry to tell you that there are no more seats on the flight.' I was obviously distressed by this as imagined I would have to return back to Dorset? However, after much insisting she eventually eventually found my seat. I arrived at the gate in good time for my flight to Johannesburg. However we were all waiting for about a further half an hour past the time we were meant to have departed the airport. In this time, there were no explanations as to why we were so late boarding the plane. Once on the plane, again we waited and waited and waited - and eventually we were told that 'Sorry for the inconvenience, but BA did not have enough time to the the engineering works, or refuel or do the mandatory paper work for this plane during the day.' So we were extremely late in setting off from Heathrow. I think this is a poor excuse for not departing at the correct time and we were not given enough notifications throughout the lengthy wait. I was concerned about catching my next flight from Johannesburg to Cape Town. The flight attendant told me not to worry and there will be lots of BA ground staff to help us all when we arrive at Johannesburg. However, this could not have been further from the truth. Once landed there were no British Airways staff present - except for one lady in a High Vis jacket who explained to people that needed to get the connecting flight to Johannesburg to leave their luggage as it would be put on the plane and to Run to the next gate for the flight. She then pointed at a man (he was wearing no uniform) saying he will take me and another passenger to gate. We literally ran through the airport and then the man asked for a tip? I gave him £5 but was extremely suprised that I would have to 'tip' someone who supposedly BA advised me to go withOnce getting to the gate and (just in time) the lady at Comair said radioed through and told us they had already sold our tickets, and rudely shouted at me as to 'Why? did you leave your luggage' By this point I had tears falling and was feeling extremely overwhelmed. She then told us to 'just go back' with no further help. Luckily another passenger was with me and was kind enough to show me the BA check in desk to ask for new tickets to Cape Town. Once at the BA deskthey were not helpful in the slightest. They simply told me to go and get my luggage from a 'Menzies' which was the other side of the airport and see if it was there. I ran too and fro the Menzies (lost luggage) to the Comair and BA office - back and forth for around 2 hours. No staff were helpful even though I was crying and feeling completely bewildered.",London Heathrow,CPT,JNB
2375,2375,False,April,4.0,2016.0,2016-04-01,United Kingdom,Family Leisure,MAN to LAX via LHR,2.0,1,no,"Manchester to Los Angeles via Heathrow with British Airways. Pre paid for emergency exit seats for our flight and was allocated these at check in. 45 minutes later when trying to board flight, we were stopped and told we were now at the back of the plane with our tickets given to BA staff, who were sitting comfortably. It transpires we have to contact BA ourselves to get our money back after filling in a form. This sums up British Airways now, as an airline where customers are effectively charged for something they aren't provided with and then BA making it so difficult that they hope they get to keep the money, customer service is non existent. Other than this, all 4 flights we took were late, our son was given child meals we hadn't booked, the choice of meals was one of only two options both were disgusting, one of the seats was broke on a new A380 and the seats were incredibly uncomfortable in that you could feel the metal frame as there is no padding in the seats. An internal Virgin America flight we took had more space and more comfortable seating than BA's A380. I cannot find anything positive to say about them.",MAN,LAX,London Heathrow
2376,2376,False,January,1.0,2016.0,2016-01-01,United Kingdom,Couple Leisure,GIB to LHR,1.0,1,no,"Cancelled a British Airways flight to Gibraltar within cooling off period, they advised refund takes 24 hrs. Many calls later still no refund. Promised on 11 April would get refund within 72 hours. As of 15 April BA can’t say when will be refunded. Payment due 17 April  for replacement BA flight booked after first flight was cancelled and need refund to pay balance. BA don’t care, holding £353 and won’t say when it will be refunded. Loyal customer for 28 years. Appalling customer service and BA say if payment due on 17th April not made for replacement booking it will be cancelled and I will lose £150 deposit despite the fact they are keeping £353 of my money and have lied repeatedly as to when it will be refunded. BA flights are now a nightmare, last 3 flights travelled on were delayed due to hand baggage only passengers marauding up and down the aisle trying to stuff oversize hand luggage into overhead lockers with no care or consideration for other passengers possessions. Captain had to announce unless people sat down and allowed hand baggage to be placed in hold, plane would be further delayed. British Airways needs to decide whether it wants to be a no frills airline or not, it is now worse than Ryanair or Easyjet. Not a pleasant experience to fly BA anymore. Despite having problems of one type or another on nearly every booking made with BA in the last few years, continued to be loyal to them but they do not appreciate customer loyalty despite their recorded customer services message claiming they want to maintain high standards after travel and wish to ensure a passenger flies with BA again, they fail on all counts.",GIB,London Heathrow,
2422,2422,False,March,3.0,2016.0,2016-03-01,United Kingdom,Couple Leisure,AUS to LHR,2.0,2,no,"Austin to London Heathrow. I spent a considerable amount of time in Jan and Feb, booking these seats, and I had to pay over £70 for the privilege. BA systems were not working properly and I had to get phone help - to find the cause, but at the 15th attempt, I managed to book the seats. I like a window seat, mid cabin, in a number that divides by 3. Our flight was called, I went to the gate, with people behind me. The bar code on the bag drop issued boarding pass wouldnt scan. He asked his colleague who had other boarding passes, that still wouldnt scan. His other colleague thought it might be my passport and went off to check. I made the point that I had been in the airport three hours so if there was something wrong, surely they could have contacted me? The colleague came back. The bar codes still wouldnt scan and I heard one of them say 'they are already through'. I said I had booked a window seat for hubby and hoped the new one was. He said they were but by their numbers I could see they werent. Got on board. There was someone already in those seats!! I found an attendant, who went off and found us two seats. No window, across the aisle from the loo. So all night we heard the loo flushing and got bumped by people waiting and falling about due to turbulence. That would be why they were free.  I did look to where my booked seats were. There was a family of five in that row, that obviously wanted to be together. So though I was in a different bit of the cabin that might have been premium economy, as I was offered a hot flannel and some warm fizzy win in a plastic glass, I was certainly not upgraded. Doesn't matter if you pay for seat reservations, 6 weeks in advance. If somebody comes along later they'll turf you into cattle class. And to think I stopped using Ryanair!",AUS,London Heathrow,
2428,2428,False,March,3.0,2016.0,2016-03-01,United States,Business,AMS to LHR,1.0,1,no,"British Airways has completely terrible customer service. I paid extra to fly BA instead of one of the cheaper airlines assuming some sort of quality of experience. The flight is more than 2 hours delayed with no reasoning and they refuse to book customers on another flight that has room on it and is departing earlier 'because it is closed' and willing to make the customer miss their connecting flight instead of finding a solution to a problem. People are extremely rude, don't provide any information to customers and don't provide any sort of solution to make the experience any better. Avoid this airline at all costs if possible unless you have a lot of free time and patience.",AMS,London Heathrow,
2455,2455,False,February,2.0,2016.0,2016-02-01,United States,Business,IAD to LHR,1.0,4,yes,"Washington to Heathrow with British Airways and I have to say that the IAD ground crew and inflight crew are fantastic. I sprained my neck just 2 days before departure and was given the option to pre board, which made all the difference. The flight itself was amazing - the A380 is just like a rock in the sky, I didn't feel a thing. The seat comfort on the upper deck in coach is more than adequate - in fact it reminds me of economy plus on United. The premium economy is more like domestic business class on most US carriers (older style business class not the new business first). The major downside - as I write this in the middle of my trip - is the ground staff at Heathrow. They are hard to find if they even exist. I'm in the middle of a terminal to terminal connection, still wearing my brace - and when asking about gate assignments and better options for seating, the best I got was a brusque ""sorry that's all there is."" When you see someone limping away from your desk - at least ask if they'd like some assistance getting to the departure lounge. I know that with United, they may not offer club access for free, but you can at least buy it and I have found their ground staff at Heathrow far superior to the UK's flagship carrier - unfortunately.",IAD,London Heathrow,
2464,2464,False,February,2.0,2016.0,2016-02-01,United Kingdom,Family Leisure,LHR to YVR,2.0,1,no,"London Heathrow to Vancouver with British Airways. Outbound flight was delayed by 2 hours. Email was received on the day of travel. It did take 2 calls to the airline to establish if one could arrive later. On the first call, there was such a poor understanding of the question that the operator thought we wanted to rebook flights. Fortunately we were cut off as I think the call might have continued for the rest of the day. Second call was more successful and a direct answer was given, no matter how unwelcome. Printing your own baggage labels was a new experience at LHR (I am not a frequent air traveller). A sign of the times perhaps but I did get the impression of going through a self checkout at a supermarket. Not much to say about bag drop off. It was neither efficient nor inefficient, just a linear series of a few tasks performed by someone doing their job. The young chap at drop off said that the delay started as 10 minutes at the beginning of the week which had turned into two hours by Friday. At the gate, I did wonder why those with priority boarding moved to a different seating area - all of 3 metres away. I suspect people need to be seen receiving value for higher ticket prices, because they will of course get there first! The flight was just about adequate. My video screen did not work and despite requests to 2 cabin crew this was not rectified - well I was ignored. Fortunate, as the film and TV choice was poor.  I do not like airline food that much. There are plenty of food outlets past security to get something decent to eat. Never really drink the wine. Beer and spirits hard to get wrong. Return flight was only made better by the jet stream reducing the flight time by an hour. Again the flight was just about adequate. Did not eat the food as I had a salad from an outlet at YVR - good value. Flight attendant said it looked better than what they were serving. The seat in front of me was broken so it reclined further than it should. The only solution provided by another attendant was to get up walk around a bit, and stand at the back. Whilst the broken seat was not the fault of the passenger in front, she did not want to be reasonable. The attendant stood there waiting for me to derive a solution.",London Heathrow,YVR,
2471,2471,False,January,1.0,2016.0,2016-01-01,Canada,Family Leisure,YVR to LIS via LHR,1.0,1,no,"I travelled from Vancouver to Lisbon with a connection in London on January 9th 2016. Our flight was late - which does happen - however we had a to run to catch our connector flight resulting in our luggage not following us - upon arrival in Lisbon no luggage. We were told our luggage by the local luggage handlers who contacted British Airways would be on the next flight 3.5 hours later - we were given the option of waiting or have it delivered to our place of residence. We had no option but wait since the keys to our residence were in the luggage. 3.5 hours we came to claim our luggage and only 2 pieces out of 3 showed up. Again going through the local baggage handlers they now informed us that our remaining luggage would now be shipped the next morning, 14 hours later - again they gave us the option of delivering the luggage unfortunately our keys were inside. We had no choice but stay in a hotel in Lisbon and wait. I was disappointed but understand things don't go as planned sometimes. We contacted British Airways upon our return to inform them of the experience. The response was less than friendly this is why my review. They replied saying they are not responsible for any luggage. Really? When I purchase my tickets I got an email to make sure that luggage specification on luggage allowed by the airline in question. My understanding with our ticket purchase in piece of luggage no more than 23 Kgs per passenger and 1 Carry on. Where did I go wrong.",YVR,LIS,London Heathrow
2484,2483,False,February,2.0,2016.0,2016-02-01,United Kingdom,Solo Leisure,KBP to LHR,1.0,5,yes,"After several bad experiences with British Airways over the last year I used them for a short hop from Ukraine to the UK. On check-in at KBP I wasn't offered lounge access (Silver tier FF). I found a good hand baggage only deal.  The service onboard was efficient but friendly. A meal was served on this flight which was Chicken Kiev, tasty considering the price I paid. Arrived at LHR early and we arrived at a terminal airbridge and weren't bused to the terminal, as is often the case.",KBP,London Heathrow,
2493,2493,False,January,1.0,2016.0,2016-01-01,United States,Solo Leisure,LHR to BOS,1.0,2,no,"I was originally booked on a United Airlines flight from London to Boston, connecting through Washington Dulles, but this was cancelled because of the snow in DC. United rebooked me onto British Airways to complete the flight to Boston. Without a doubt, BA is one of the worst airlines I have flown on. Upon arriving at check in, I was told that I could only check in one bag, despite being allowed to take two bags on United. United said that I would be able to travel on an equivalent service with BA. The check in supervisor at Heathrow informed me that I would have to pay £65 to bring the bag. When I complained said ""it's not my problem"". I asked if they could call United to clarify the bag issue, but they refused, saying ""we don't even talk to United"" - in the end I didn't pay and will get it sent at a later date. The onboard service was very disappointing. The food was barely edible. The staff were loud and abrupt, providing the bare minimum service and yelling across the cabin at each other making the whole journey even more unpleasant. The inflight entertainment failed multiple times, and passengers started to be reseated because of the problem. The maximum volume was also too low so it was difficult to hear the movies over the cabin noise, and I am not hard of hearing. It was disappointing that there was no onboard WiFi or personal device entertainment. British Airways seriously threw away an opportunity to convince me to fly with them in the future.",London Heathrow,BOS,
2494,2494,False,December,12.0,2015.0,2015-12-01,Canada,Solo Leisure,YVR to NBO via LHR,1.0,3,no,"Vancouver to Dar-es-salaam via London / Doha. Yet another dreadful experience with British Airways! Why do I travel with them? This time, BA advised me that my return itinerary was changed because of a cancellation by their codeshare partner Qatar Airways to the Dar-es-Salaam leg of the journey, which would give me a 24 hour layover in Doha before connecting onward to London. In itself, that was not an issue, but BA did everything possible to wash their hands of any responsibilities for their obligations under EC Regulation No 261/2004 as required by Article 14.2 - which they even post on their website!!. It took a day of calls by my travel agent, and 2 hours of debating with an agent, his supervisor, and the office in Manchester before they agreed that it was their responsibility. Their solution : a rerouting of my journey through Nairobi with an extra flight by a non-code share partner that cost them more than the cost an overnight hotel in Doha - something they refused to consider. Go figure! Never again with British Airways.",YVR,NBO,London Heathrow
2512,2514,False,January,1.0,2016.0,2016-01-01,United Kingdom,Family Leisure,MCO to LHR via MIA,1.0,1,no,"Just returned from Orlando to London via Miami, that we booked direct with British Airways. The outgoing flight was really good. However, a totally different story on the return flight. We were redirected to check in with American Airlines as we had an internal connecting flight. Although we checked in shortly after the check in opened, the only seating was preferred meaning we had to pay extra for flights we believed we had paid in full. Additionally my family was split up. The AA check in would not allow us to check into the long haul flight from Miami to London. After phoning we discovered we had been checked in but not allowed to choose seats. I've spent a week seeking an apology from BA customer services and I've had several stock responses and been left with the feeling that they really do not care about their customers. From their response it is quite clear they do not see AA as part of the same group ""one world alliance"" I used to be of the view that I didn't mind paying a bit more for BA as their service was really good, but unfortunately they now seem to offer a budget airline service. I post this purely to warn other families to be aware of the danger of booking with British Airways but having a connecting flight with another part of the ""one world alliance"".",MCO,London Heathrow,MIA
2528,2528,False,December,12.0,2015.0,2015-12-01,United Kingdom,Couple Leisure,LHR to PSA,1.0,1,no,"Watch out for fog diversions at Pisa! We arrived over Pisa on time, circled for 20 minutes and then diverted to Genoa. This was because of fog at Pisa and the fact that there was no instrument landing system. We subsequently found that the ILS has not been working for some time and will not be working for a good while yet. Fog is common at Pisa in the winter. We could understand a last minute diversion because of unexpected factors. However, there have been frequent diversions yet British Airways gave no advance warning that there might be trouble. We had a long wait at a deserted Genoa airport and no British Airways or other staff were on hand to assist or offer drink or food. Eventually one lady appeared to show us to a bus which took us on a 3 hour journey to Pisa. We had a 12 hour day with little to eat or drink. Our chief complaint is that with advance warning from BA we would have bought water and food if we had known what could happen. In any event, BA should have done more to provide extra refreshments.",London Heathrow,PSA,
2529,2529,False,January,1.0,2016.0,2016-01-01,United Kingdom,Couple Leisure,LHR to GLA,2.0,1,no,"British Airways flight from London Heathrow to Glasgow. Shabby cabin, lacklustre cabin crew, flight deck crew whose announcements were mainly less than informative. A crew which appeared to be going through the motions with little enthusiasm and as little engagement with passengers as possible. Some time after the cabin crew had closed all of them, the overhead locker above my seat fell open before the plane even moved off stand at LHR. On descent into GLA it opened again and hung open for several minutes and I was tempted to unclip and close it. I made the passenger across the aisle aware in case the bags fell out on top of him. Eventually, the cabin crew member whose jump seat faced up that aisle got up and closed it. We should have been sitting upfront given our ticket class (part of a longer trip), but, after service issues with BA and a long journey prior to this flight, we couldn't be bothered pointing that out. Just another shabby experience to add to the other disappointments with regard to service and lounge provided by BA on a long return trip involving two other airlines, who were streets ahead in all ways.",London Heathrow,GLA,
2534,2534,False,January,1.0,2016.0,2016-01-01,United Kingdom,Solo Leisure,BKK to LHR,2.0,1,no,"Bangkok to London with British Airways on 3rd January. This was most probably the worst flight I've had in 15 years. The crew were very poor, only seeing them when serving meals. No one came round with drinks or snacks during a 13 hour flight, if you wanted anything you had to go to the galley - and then they were unhelpful, I was only offered a bag of crisp! The seat was very narrow and the remote for the entertainment was on top of the armrest. Food was below the the standard I would expect from a national airline, small portions. Main meal and a pice of cake. No offer for a second cup of coffee. Overall a most unpleasant experience, I would not recommend British Airways to anyone.",BKK,London Heathrow,
2546,2546,False,December,12.0,2015.0,2015-12-01,United States,Business,New York to London,1.0,1,no,"I booked a non-refundable round trip ticket, New York to London; Paris to New York. I showed up at JFK 2 hours before my flight and was informed that my ticket had been ""refunded,"" which meant I had no ticket. When I spoke to British Airways customer service, they said they would investigate how this happened, which would take 24-48 hours, but that meanwhile I had no ticket. They would not rebook my ticket. They were entirely unsympathetic, even though they had made a huge error cancelling my ticket. I was forced to purchase an expensive ($1300), last minute ticket, for which I have still not been reimbursed, even though, finally, British Airways acknowledged that they had made a big error. I can understand making an error. I cannot understand their unwillingness to help me, when they put me in such a compromised position. Subsequent to the problem on first leg, British Airways Customer Service assured me that my return ticket was not affected, and they even sent me an E-Ticket confirmation of my return. But, again, the morning of my return flight, they told me I had no return ticket. Only then did a Supervisor finally admit that an error had been made, and he rebooked my return, at no cost. Over the course of 2 weeks, however, I spent at least 10 hours trying to get my problem sorted out, first at Heathrow Airport, then on the phone and on email, and I was still left stranded for my return flight. I am amazed that British Airways was so insensitive to the problem which they created through a huge error, and that I have still not received a refund for the outbound ticket I was forced to purchase.",New York,London,
2550,2550,False,December,12.0,2015.0,2015-12-01,United Kingdom,Business,London to Vancouver,1.0,2,no,"Having previously flown with British Airways on their European routes, I thought I would take a long haul flight with them. I arrived 2 hours before departure at Heathrow Terminal 3 and couldn't quite understand what was going on; the queue to actually drop my pre-checked luggage was long, very long, hearing customers complaining they were standing in line for a good hour, and that there were no signs of BA taking any steps to remedy the situation. Even with my frantic tweeting at BA, nothing improved. The situation boiled down to the fact that only 4 desks were open for the general public on the day that schools finished. Needless to say, whoever was in charge that day didn't really know what they were doing and caused a lot of agro for many customers, and BA needs to take full responsibility of this. Once these proceedings had passed, I found myself boarding the Boeing 747-400 which was tired and not very well maintained. Leg room was atrociously tight, with a metal support for the seat in front of me limiting the actual usable legroom. The inflight entertainment had a good selection of films, but was made to be disappointing with the meagre 7"" to 9"" screens. The staff was very friendly. Looking after our area was a charming staff who really made us feel welcome and did his very best to find some people seconds if they were left hungry after the meal. The meal was decent, not fantastic.  My only note when it comes to food and drink is that more water should be made available. I found myself constantly thirsty and having to go back to the galley to ask for water. All in all, I wouldn't fly with BA again using their long-haul services unless I were to fly in Business or First. The ground service is terrible. I am left disappointed given how decent their short-haul flights are, and how much they pride themselves on the quality of their products in that market.",London,Vancouver,
2554,2554,False,September,9.0,2015.0,2015-09-01,Thailand,Couple Leisure,LHR to BKK,2.0,1,no,"Booked a very expensive London to Bangkok flight for my wife and I because it was the only direct flight, and also we expected to get a decent service for this higher price. The British Airways terminal was hopeless, impossible to find your way around with no signs anywhere, and hideously overcrowded. Onboard my entertainment system never worked, then a few minutes into the flight both my wife's and my neighbour's entertainment systems also stopped working. Tried to read but my overhead light was broken. Tried to sleep but my neighbour's light was broken and on - could not be turned off. Complained but it took 3 months to get a satisfactory reply and all they offered was a £100 voucher for future BA flights! Like I'm ever going to travel with them again. They're a tired, overpriced airline.",London Heathrow,BKK,
2592,2592,False,July,7.0,2015.0,2015-07-01,United Kingdom,Couple Leisure,LHR to LAS,1.0,1,no,"London Heathrow to Las Vegas with British Airways. Online check in and seat allocation facility 24 hours before departure are a con! I checked the available flight seats approximately 30 hours prior to check in and virtually 95% of the flight was pre-booked! Therefore, I panicked and prepaid the £70 to secure a window and middle seat as seats had not been allocated to me and wouldn't be until 24hours prior to check in. Then when I did check in approximately 23hrs and 59 minutes prior to travel I had already been allocated 2 seats, one by a window and one in the middle, so a total waste of time me paying £70. I got a refund, but only have the inconvenience of completing online forms and waiting around a month to get my money back. Then when I did get to the airport, the seats I had already paid the extra £70 for had been allocated to someone else (after I had paid for them)and they told me I had to sit in my original 2 seats that had been allocated - an utter farce! British Airways refused to acknowledge their systems were at fault and had use of my funds for almost a month yet had I been advised of my seats prior to check in I would not have paid them £70. They knowingly do this to encourage people to pre-pay for something they knowingly cannot deliver. The aircraft was dirty when we boarded as the fight was late, the toilets were blocked around 10 minutes into the flight and stank - eventually they were blocked off from use, which left 2 out of 4 toilets for the entire rear section of the plane.  The food was abysmal. Afternoon tea on a transatlantic flight used to be pleasant, with scones, cream, jam and nice selection of sandwiches. Now it is a dried up roll and dried excuse of a cake. I am never going to fly British Airways again after the way they handled my complaint - they offered no form of apology that was meaningful or relevant to what I was complaining about and disowned responsibility for the corrupt way their online booking system works.",London Heathrow,LAS,
2594,2594,False,October,10.0,2015.0,2015-10-01,United States,Couple Leisure,YUL to FCO via LHR,1.0,1,no,"Montreal to Rome via London with British Airways. Boarded the plane on time (20.30hrs) and sat for six hours on the tarmac while BA tried to clear a glitch in the landing gear system. They finally gave up and cancelled the flight. I had to get to Rome to catch a cruise ship that was departing at 8pm on Tuesday evening, and here I am in Montreal at 1pm Monday, Rome time. British Airways ticket agent refused to help me change my itinerary (""Go to the hotel on the bus and at 2pm today - local time - we will have new itineraries for everyone.""). I tried to explain the urgency to my situation but she cut me off, ""I can't help you, if I help you now I have to help everyone."" When I pressed her further she gave me the BA 800 number, which was closed due to the late hour. Finally I called British Airways Reservations in London, who re-routed me, on American Airlines. The final kick: I put in a claim for a wasted night's guaranteed stay in Rome, and for cancellation compensation. A month later, British Airways advised me that my claim was approved and I would receive payment in two weeks. Since then, nothing for the last 6 weeks. Phone calls to customer support involve at least a 40 minute hold. What a horrid excuse for customer service!",YUL,FCO,London Heathrow
2604,2604,False,November,11.0,2015.0,2015-11-01,United States,Couple Leisure,Rome to London,1.0,2,no,"Rome to London with British Airways. Very uptight woman checking myself and husband in made me check my carry-on bag that was substantially smaller than other bags taken onboard the plane. When I arrive to London I find I have no bag for my vacation! No pajamas, no toothpaste, no change of clothes, no toothbrush and it's pouring down rain and cold here.",Rome,London,
2610,2610,False,August,8.0,2015.0,2015-08-01,Canada,Solo Leisure,London to Vancouver,2.0,3,yes,"I was very pleased with my flight on this aircraft, it was my first time flying on a B747, and it made quite the impression. This flight was full with a duration of approx 9 hours. Rough start as we had to wait an extra 45 min for additional crew for the flight. Each seat equipped with a blanket and pillow, e individual TV screens with a broad range of movies/tv shows. I am 6ft and found the leg room to be adequate (my knees did start to become sore towards the end), but enough room. Crew were great and food service the best I've received. A couple rounds of snack/drink service and a hot meal served which was great. It seemed very easy for everyone around to sleep but I can never sleep on planes so I stayed awake.",London,Vancouver,
2612,2612,False,November,11.0,2015.0,2015-11-01,United Kingdom,Couple Leisure,Vienna to London,2.0,1,no,"British Airways online check in policy is now most appalling. Four times I have flown with them and three times myself and my girlfriend have been placed apart. This is even though we were on the same booking and once this has happened in business. British Airways charge you just for selecting a seat. Not a better seat, just any seat other than that automatically selected for you! The system seems designed to deliberately place you apart, even though it knows that you are together. Then it charges you £18 per seat to change your seat. If neither you or your partner have an empty seat next to you then you have to pay to move both seats just to be together. They also won't let you checkin until 24 hours before so you have to spend one hour of your holiday going online and paying for the privilege of sitting together. Both these practices are archaic, even with Ryanair, they place you together in the system and if you pay to change you get priority boarding. Monarch only charge you to get a better quality seat. With Ryan Air you can also checkin your return at the same time as your outward. British Airways have sunk to new depths and I will not fly them again.",Vienna,London,
2617,2617,False,November,11.0,2015.0,2015-11-01,United States,Business,LHR to MUC,1.0,1,no,"I have booked a flight to travel with my wife from the USA to Italy. I booked this trip through American Airlines, and some of the flights are with British Airways. In order to select seats on British Airways, I have to pay about $200 for the both of us, maybe more. I will never fly American Airlines or British Airways ever again. I think this policy is ridiculous.",London Heathrow,MUC,
2626,2626,False,November,11.0,2015.0,2015-11-01,Ireland,Business,Kiev to Dublin via LHR,2.0,1,no,"I regularly travel British Airways to LCY and LHR and found them to be nothing more than a glorified Ryanair in terms of service. I also flew a longer sector (Kiev to London) last week and it was awful. On the A319 they only have 1 toilet at the rear of the plane for all economy passenger. On a 4 hour flight this resulted in massive queues discomforting passenger on the last 4-5 rows as well as long waits for those actually using the loo. The food was horrendous (Chicken Kiev!) and the air hostesses were surly, abrupt and really uninterested and unfriendly. I don't want them to do the fake smile and friendliness thing, but these girls and guys were genuinely unhappy and unfriendly. As for my regular weekly or biweekly flights between Dublin and LCY or LHR, the E170 service to LCY is ok, it's punctual, and you get a stale croissant for breakfast on it. What really annoys me is how British Airways treats its frequent flyers, makes it impossible to get any meaningful benefit from BA despite having travelled numerous times with them (every other week at least!) and paid hundreds of pounds in fares that are usually well above the competition. They also have this ""seat selection"" fee for their bronze members if they book a hand luggage only fare. They cite that these fares are there to make it competitive but they really are not anywhere near competitive on routes they sell from Dublin and the treatment of regular flyers and bronze members leaves a lot to be desired (it's basically meaningless: I would have far better service on Cityjet or Aer Lingus which both server those routes, for a lower fare, while being able to choose my seat for free at check-in time). As a result, I am seriously considering my use of British Airways.",Kiev,Dublin,London Heathrow
2640,2640,False,November,11.0,2015.0,2015-11-01,United Kingdom,Family Leisure,Denver to Heathrow,2.0,2,no,"Not impressed with British Airways at all. We flew back from Denver after visiting family. We flew out with Lufthansa as they were the cheapest as we usualy fly to the Middle/Far east with them and know the standards and quality they have to offer. Our return Lufthansa flight home was cancelled due to flight attendant strikes at Lufthansa. We were booked straight on to the BA flight back to London which left only an hour later. Initially we were excited to fly with British Airways as it would've been our first time flying with them and also they fly a B747-400 from Denver to Europe. I am aware that the Boeing 747-400 isn't the newest aircraft, however Lufthansa had re-done the interior with new seats and side panels so very up to date inside. With British Airways the whole interior was very old and dirty, the seats hadn't been changed and the TV's in the back of the seats were such poor quality it was embarrassing. The food was of a poor standard - chicken meal I had was horrendous and even the flight attendant didnt know what she was serving. When asked what chicken dish it was, she replied ""some sort of curry thing"" when it was actually Chicken Teryaki. The air hostess was rude, the breakfast snack which was served before landing was also not very good, and cereal bar was rock hard. British Airways were double the price of Lufthansa when we initially booked, however I would never choose to fly with the again out of my own choice. Their Boeing 747's are dated which is a massive shame. Stick to an airline you know well, Lufthansa are the best European airline all round that I have used, and Emirates was the best internationally. I hope this review was helpful - obviously I am aware some customers would have had a better experience than me on newer planes with different food and air hostesses, however be aware when booking with British Airways as they are very over rated and not good value for money.",Denver,London Heathrow,
2643,2648,False,November,11.0,2015.0,2015-11-01,United States,Business,Washington to London,1.0,1,no,"I recommend flying any other airline than British Airways. The fare looks reasonable until you get to where you have to buy your seat! Plus, if you have to cancel your flight (in my case a meeting was cancelled) they won't issue a voucher or a refund. I cancelled my flight six weeks in advance and they refunded $140.95 of a $1003.95 ticket! And, they won't issue a voucher. I will never fly British Airways, they are so greedy.",Washington,London,
2651,2651,False,November,11.0,2015.0,2015-11-01,United States,Solo Leisure,DFW to DEL via LHR,1.0,1,no,"I was among the several hundred passengers whose British Airways flight was canceled last night from Dallas Ft Worth to London. No status indicating canceled was put on the displays at the gate, once the decision was made. They were not updated. People were told to call 1-800-AIRWAYS for help, but were turned away by the phone system, and as a result lost their places in line. One woman had a glimmer of hope with the phone system, only to be told that because she was traveling with a baby, she had to go back and wait in line. Only 4 ticket counters were open to assist the passengers, and each passenger took over 20-30 minutes to help, on average. One couple took approximately 2 hours to be helped because they were booked to go on a cruise for their anniversary and this delay cost them their connection. They were not able to get any arrangements that would get them to their cruise for another 3 days. The couple will now miss half their cruise. No screening was performed to get people with important connecting flights (like that couple or myself) close to the front of the line. There were two other flights out to LHR that night that would have allowed me to still make my tour, but due to the disorganization of the help, I missed both, even though one was 5.5 hours after the original cancellation. It did not help that the British Airways staff blatantly allowed people to cut in line, for no reason. I was still in time to make the last flight out at 10:10pm, but a couple was allowed to cut in front of me in line and as a result by the time my new bookings were made it was too late. People were falling out of line because there was no area to rest, or provisions made for food or going to the restroom. The customers were too exhausted to stand for that long. No attempt to ""take a number"" and call people back was made for the comfort of customers. Not even water was passed out during the 6 hour waiting period. The counter staff, and how they were managed, was completely inadequate. The way British Airways handled this cancellation was atrocious! Things break, including airplanes, which is understood, but the manner in which a company recovers from such debacles says a great deal about their character. I am sorely disappointed in how this was dealt with. I will now miss the first, and arguably most anticipated, part of my tour to India, and my traveling companion (coming from Atlanta) will be there alone, which is not safe for a young, single female. This airline has cost me time, money, and most importantly safety, for myself and my friend.",DFW,DEL,London Heathrow
